id,link,address,area,bedrooms,bathrooms,garages,others,price,condo,date
2516600704,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-alvorada-bairros-sao-jose-dos-campos-com-garagem-76m2-aluguel-RS2000-id-2516600704/,"Rua Campinas, 185 - Jardim Alvorada, São José dos Campos - SP",76,3 Quartos,2 Banheiros,1 Vaga,Elevador,R$ 2.000 /mês,R$ 396,2021-05-14 09:02
2513953240,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-70m2-venda-RS450000-id-2513953240/,"Vila Adyana, São José dos Campos - SP",70,3 Quartos,2 Banheiros,2 Vagas,,"R$ 1.550 /mês
R$ 450.000",R$ 600,2021-05-14 09:02
2518957967,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-60m2-aluguel-RS950-id-2518957967/,"Rua Haiti, 331 - Jardim América, São José dos Campos - SP",60,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Piscina
Área de serviço
Churrasqueira
Salão de festas",R$ 950 /mês,R$ 300,2021-05-14 09:02
2516874857,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-185m2-venda-RS890000-id-2516874857/,"Avenida São João - Jardim Esplanada, São José dos Campos - SP",185,3 Quartos,3 Banheiros,2 Vagas,,"R$ 3.000 /mês
R$ 890.000",R$ 1.300,2021-05-14 09:02
2518886331,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-esplanada-ii-bairros-sao-jose-dos-campos-com-garagem-124m2-venda-RS795000-id-2518886331/,"Jardim Esplanada II, São José dos Campos - SP",124,3 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Salão de festas
Playground
Varanda","R$ 3.780 /mês
R$ 795.000",R$ 660,2021-05-14 09:02
2508957977,https://www.vivareal.com.br/imovel/apartamento-2-quartos-conjunto-residencial-trinta-e-um-de-marco-bairros-sao-jose-dos-campos-com-garagem-105m2-venda-RS460000-id-2508957977/,"Conjunto Residencial Trinta e Um de Março, São José dos Campos - SP",105,2 Quartos,2 Banheiros,1 Vaga,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira","R$ 2.100 /mês
R$ 460.000",R$ 530,2021-05-14 09:02
2515197550,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-157m2-aluguel-RS5000-id-2515197550/,"Jardim Esplanada, São José dos Campos - SP",157,4 Quartos,4 Banheiros,2 Vagas,"Piscina
Churrasqueira
Varanda
Academia
Jardim",R$ 5.000 /mês,R$ 800,2021-05-14 09:02
2519022990,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-esplanada-ii-bairros-sao-jose-dos-campos-com-garagem-99m2-aluguel-RS3100-id-2519022990/,"Rua Laurent Martins - Jardim Esplanada II, São José dos Campos - SP",99,3 Quartos,1 Banheiro,2 Vagas,,R$ 3.100 /mês,R$ 668,2021-05-14 09:02
2512813085,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-sao-dimas-bairros-sao-jose-dos-campos-com-garagem-44m2-aluguel-RS1300-id-2512813085/,"Avenida Doutor Adhemar de Barros, 290 - Jardim São Dimas, São José dos Campos - SP",44,1 Quarto,1 Banheiro,1 Vaga,"Mobiliado
Elevador
Área de serviço
Varanda
Cozinha",R$ 1.300 /mês,R$ 499,2021-05-14 09:02
2517487799,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-augusta-bairros-sao-jose-dos-campos-com-garagem-33m2-aluguel-RS1350-id-2517487799/,"Jardim Augusta, São José dos Campos - SP",33,1 Quarto,1 Banheiro,1 Vaga,Área de serviço,R$ 1.350 /mês,R$ 335,2021-05-14 09:02
